date;home_team;away_team;winner
02/07/2010;Uruguay;Ghana;Uruguay
25/01/2011;Japan;South Korea;Japan
08/02/2011;Romania;Ukraine;Ukraine
09/02/2011;Sweden;Ukraine;Ukraine
08/06/2011;Uruguay;Netherlands;Uruguay
18/06/2011;Costa Rica;Honduras;Honduras
19/06/2011;Panama;El Salvador;Panama
29/06/2011;Saare County;Åland Islands;Åland Islands
30/06/2011;Isle of Man;Menorca;Menorca
12/07/2011;Saint Lucia;Aruba;Saint Lucia
16/07/2011;Argentina;Uruguay;Uruguay
17/07/2011;Brazil;Paraguay;Paraguay
20/07/2011;Paraguay;Venezuela;Paraguay
05/02/2012;Gabon;Mali;Mali
12/02/2012;Zambia;Ivory Coast;Zambia
03/06/2012;Finland;Latvia;Latvia
24/06/2012;England;Italy;Italy
27/06/2012;Portugal;Spain;Spain
21/11/2012;Argentina;Brazil;Brazil
23/01/2013;Sweden;North Korea;Sweden
02/02/2013;South Africa;Mali;Mali
06/02/2013;Burkina Faso;Ghana;Burkina Faso
27/06/2013;Spain;Italy;Spain
30/06/2013;Uruguay;Italy;Italy
13/07/2013;Zimbabwe;Malawi;Zimbabwe
14/07/2013;Angola;Lesotho;Lesotho
17/07/2013;Zambia;South Africa;Zambia
29/05/2014;Latvia;Estonia;Latvia
04/06/2014;Abkhazia;South Ossetia;South Ossetia
04/06/2014;Ellan Vannin;Iraqi Kurdistan;Ellan Vannin
05/06/2014;Padania;Abkhazia;Padania
05/06/2014;Occitania;Iraqi Kurdistan;Iraqi Kurdistan
07/06/2014;Padania;Iraqi Kurdistan;Padania
08/06/2014;County of Nice;Ellan Vannin;County of Nice
28/06/2014;Brazil;Chile;Brazil
29/06/2014;Costa Rica;Greece;Costa Rica
05/07/2014;Netherlands;Costa Rica;Netherlands
09/07/2014;Netherlands;Argentina;Argentina
23/01/2015;Iran;Iraq;Iraq
23/01/2015;Japan;United Arab Emirates;United Arab Emirates
30/01/2015;Curaçao;Aruba;Aruba
07/02/2015;Equatorial Guinea;DR Congo;DR Congo
08/02/2015;Ivory Coast;Ghana;Ivory Coast
24/05/2015;Zambia;Namibia;Namibia
24/05/2015;South Africa;Botswana;Botswana
25/05/2015;Mozambique;Malawi;Mozambique
27/05/2015;South Africa;Malawi;Malawi
21/06/2015;Ellan Vannin;Felvidék;Ellan Vannin
26/06/2015;Argentina;Colombia;Argentina
27/06/2015;Brazil;Paraguay;Paraguay
02/07/2015;Gibraltar;Åland Islands;Åland Islands
04/07/2015;Chile;Argentina;Chile
04/07/2015;Zambia;Namibia;Zambia
19/07/2015;Trinidad and Tobago;Panama;Panama
25/07/2015;United States;Panama;Panama
13/10/2015;El Salvador;Guatemala;Guatemala
03/02/2016;DR Congo;Guinea;DR Congo
27/05/2016;Corsica;Basque Country;Basque Country
01/06/2016;United Koreans in Japan;Northern Cyprus;Northern Cyprus
02/06/2016;Iraqi Kurdistan;Padania;Padania
03/06/2016;Bosnia and Herzegovina;Denmark;Bosnia and Herzegovina
03/06/2016;Thailand;Syria;Thailand
03/06/2016;Vietnam;Hong Kong;Vietnam
03/06/2016;Iraqi Kurdistan;Western Armenia;Western Armenia
03/06/2016;Chagos Islands;Raetia;Raetia
04/06/2016;United Koreans in Japan;Iraqi Kurdistan;United Koreans in Japan
05/06/2016;Abkhazia;Panjab;Abkhazia
11/06/2016;Papua New Guinea;New Zealand;New Zealand
17/06/2016;Peru;Colombia;Colombia
18/06/2016;Namibia;Botswana;Botswana
18/06/2016;South Africa;Lesotho;South Africa
19/06/2016;Zambia;Eswatini;Eswatini
22/06/2016;Botswana;DR Congo;Botswana
25/06/2016;Switzerland;Poland;Poland
26/06/2016;Argentina;Chile;Chile
30/06/2016;Poland;Portugal;Portugal
02/07/2016;Germany;Italy;Germany
11/01/2017;Chile;Croatia;Chile
14/01/2017;China PR;Croatia;China PR
01/02/2017;Burkina Faso;Egypt;Egypt
09/06/2017;Kárpátalja;Ellan Vannin;Kárpátalja
09/06/2017;Padania;Abkhazia;Padania
10/06/2017;Northern Cyprus;Padania;Padania
28/06/2017;Portugal;Chile;Chile
29/06/2017;Hitra;Western Isles;Western Isles
29/06/2017;Greenland;Menorca;Greenland
01/07/2017;Namibia;Lesotho;Lesotho
07/07/2017;Tanzania;Lesotho;Tanzania
16/07/2017;Thailand;Belarus;Thailand
21/03/2018;South Africa;Angola;South Africa
21/03/2018;Zambia;Zimbabwe;Zambia
22/03/2018;Thailand;Gabon;Thailand
24/03/2018;Angola;Zimbabwe;Angola
02/06/2018;Zambia;Namibia;Zambia
03/06/2018;Andorra;Cape Verde;Cape Verde
03/06/2018;South Africa;Madagascar;Madagascar
03/06/2018;Zimbabwe;Botswana;Zimbabwe
05/06/2018;Matabeleland;Kabylia;Kabylia
06/06/2018;Lesotho;Zimbabwe;Zimbabwe
09/06/2018;Tibet;United Koreans in Japan;United Koreans in Japan
09/06/2018;Panjab;Cascadia;Panjab
09/06/2018;Padania;Székely Land;Padania
09/06/2018;Northern Cyprus;Kárpátalja;Kárpátalja
01/07/2018;Russia;Spain;Russia
01/07/2018;Croatia;Denmark;Croatia
03/07/2018;Colombia;England;England
07/07/2018;Russia;Croatia;Croatia
20/01/2019;Jordan;Vietnam;Vietnam
21/01/2019;Australia;Uzbekistan;Australia
23/03/2019;Oman;Singapore;Oman
01/06/2019;Lesotho;Uganda;Lesotho
02/06/2019;South Africa;Botswana;Botswana
02/06/2019;Zambia;Malawi;Zambia
04/06/2019;South Africa;Uganda;South Africa
05/06/2019;Zimbabwe;Zambia;Zambia
06/06/2019;Abkhazia;Western Armenia;Western Armenia
06/06/2019;South Ossetia;Chameria;South Ossetia
07/06/2019;Lesotho;Zimbabwe;Zimbabwe
07/06/2019;South Africa;Malawi;South Africa
08/06/2019;Abkhazia;Chameria;Abkhazia
09/06/2019;Switzerland;England;England
27/06/2019;Brazil;Paraguay;Brazil
28/06/2019;Colombia;Chile;Chile
29/06/2019;Mexico;Costa Rica;Mexico
29/06/2019;Uruguay;Peru;Peru
05/07/2019;Morocco;Benin;Benin
07/07/2019;Madagascar;DR Congo;Madagascar
08/07/2019;Ghana;Tunisia;Tunisia
11/07/2019;Ivory Coast;Algeria;Algeria
08/09/2019;Tanzania;Burundi;Tanzania
13/10/2019;Chad;Liberia;Chad
13/10/2019;Gambia;Djibouti;Gambia
08/10/2020;Bosnia and Herzegovina;Northern Ireland;Northern Ireland
08/10/2020;Slovakia;Republic of Ireland;Slovakia
08/10/2020;Scotland;Israel;Scotland
